Game ,Win/Loss,Margin,Shots Taken ,Assists
5/8/10,W,1,24,7
5/10/10,W,15,23,4
5/17/10,W,21,23,5
5/19/10,W,12,19,13
5/23/10,L,-9,24,11
5/25/10,L,-9,22,10
5/27/10,W,2,27,9
5/29/10,W,8,25,2
6/3/10,W,13,22,6
6/6/10,L,-9,20,6
6/8/10,W,7,29,4
6/10/10,L,-7,22,2
6/13/10,L,-6,27,4
6/15/10,W,22,19,3
6/17/10,W,4,24,2
10/26/10,W,2,20,7
10/29/10,W,8,19,3
10/31/10,W,24,16,2
11/2/10,W,19,13,1
11/3/10,W,12,22,12
11/5/10,W,5,12,6
11/7/10,W,25,11,1
11/9/10,W,5,28,2
11/11/10,L,-6,32,5
11/14/10,L,-5,20,14
11/16/10,W,11,23,3
11/17/10,W,13,20,4
11/19/10,W,17,27,2
11/21/10,W,28,16,5
11/23/10,W,7,18,5
11/26/10,L,-6,21,3
11/28/10,L,-3,33,4
11/30/10,L,-2,25,5
12/1/10,L,-10,24,4
12/3/10,W,33,18,4
12/7/10,W,7,23,3
12/8/10,W,1,15,4
12/10/10,L,-4,23,7
12/12/10,W,7,19,6
12/14/10,W,14,13,4
12/15/10,W,15,18,6
12/17/10,W,12,11,4
12/19/10,W,10,12,4
12/21/10,L,-19,16,2
12/25/10,L,-16,16,7
12/28/10,L,-15,27,1
12/29/10,W,15,14,4
12/31/10,W,4,24,2
1/2/11,L,-19,22,2
1/4/11,W,25,18,8
1/5/11,W,4,17,5
1/7/11,W,4,19,4
1/9/11,W,22,28,5
1/11/11,W,55,10,8
1/12/11,W,5,21,4
1/14/11,W,12,19,4
1/16/11,L,-7,17,5
1/17/11,W,7,12,7
1/19/11,L,-9,18,10
1/21/11,W,10,15,7
1/25/11,W,29,11,6
1/28/11,L,-5,27,7
1/30/11,L,-13,29,0
2/1/11,W,8,25,11
2/3/11,L,-1,18,10
2/5/11,W,6,22,5
2/7/11,W,9,17,6
2/10/11,W,6,17,4
2/11/11,W,17,17,2
2/13/11,L,-14,18,5
2/14/11,L,-20,20,2
2/16/11,L,-5,24,2
2/22/11,W,24,11,5
2/23/11,W,5,31,6
2/25/11,W,13,16,5
2/27/11,W,3,22,7
3/1/11,W,11,18,3
